stdsmiles_v2,smiles_tautomer,carcino,dili,genotox
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNS(N)(=O)=O)C3)C(C)C12,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNS(N)(=O)=O)C3)C(C)C12,,,0.0
CN(CCc1ccccc1)N=O,CN(CCc1ccccc1)N=O,1.0,,
CC(=O)NC1C(O)OC(CO)C(OS(=O)(=O)O)C1OC1OC(C(=O)O)C(O)C(O)C1O,CC(=O)NC1C(O)OC(CO)C(OS(=O)(=O)O)C1OC1OC(C(=O)O)C(O)C(O)C1O,,1.0,
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.0,1.0,
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,,0.0,
CC1CN1P(=O)(N1CC1C)N1CC1C,CC1CN1P(=O)(N1CC1C)N1CC1C,1.0,,1.0
c1ccc(C2CO2)cc1,c1ccc(C2CO2)cc1,1.0,,1.0
O=C1C(=NNc2ccc(S(=O)(=O)O)c3ccccc23)C=C(S(=O)(=O)O)c2ccccc21,O=S(=O)(O)c1ccc(N=Nc2cc(S(=O)(=O)O)c3ccccc3c2O)c2ccccc12,0.0,,0.0
S=C(S)NCCNC(=S)S,S=C(S)NCCNC(=S)S,1.0,,
COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,,0.0,
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,,0.0,
COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,,1.0,0.0
Cc1cccn2c1nc1ccc(N)nc12,Cc1cccn2c1nc1ccc(N)nc12,1.0,,
CC(C)CC(CN)CC(=O)O,CC(C)CC(CN)CC(=O)O,,,0.0
CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,CC12CC=C3C4=C(CCC3C1CCC2(O)CC#N)CC(=O)CC4,,0.0,0.0
CC(=C(CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,CC(=C(CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0.0,,
CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,0.0,,
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0.0,,
COc1ccc(N)cc1N,COc1ccc(N)cc1N,1.0,,
NC(=O)NN=Cc1ccco1,NC(=O)NN=Cc1ccco1,0.0,,
CC(OC1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(OC1OCCN(Cc2nc(=O)n(P(=O)(O)O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,,0.0
CC=CC=CC=O,CC=CC=CC=O,1.0,,0.0
NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,,0.0,
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.0,,
CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,,1.0,0.0
N=c1ccn2c(n1)OC1C(O)C(CO)OC12,N=c1ccn2c(n1)OC1C(O)C(CO)OC12,0.0,,
COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,1.0,,
O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,O=C1CC(=O)c2c(c(O)c3ccccc3c2O)C1=O,1.0,,
O=C(CO)NCCCOc1cccc(CN2CCCCC2)c1,O=C(CO)NCCCOc1cccc(CN2CCCCC2)c1,,1.0,
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,,1.0,0.0
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,,1.0,
CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2ccccc21,,1.0,
CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,1.0,,
COC1CCC(OC)C(CC2C[N]C3NC(N)[N]C(N)C3C2C)C1,COC1CCC(OC)C(CC2C[N]C3NC(N)[N]C(N)C3C2C)C1,,1.0,
[O-][N+](=Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(Cl)c1,[O-][N+](=Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(Cl)c1,,,1.0
FC(F)(F)C(Cl)Br,FC(F)(F)C(Cl)Br,,1.0,
CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)O)c2ccc3ccccc3c21,CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)O)c2ccc3ccccc3c21,,0.0,
O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O,,0.0,
CC(C)N=C=NC(C)C,CC(C)N=C=NC(C)C,,,1.0
CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,,0.0,0.0
O=c1cc(CO)occ1O,O=c1cc(CO)occ1O,,,1.0
CC(=O)OCN=[N+](C)[O-],CC(=O)OCN=[N+](C)[O-],1.0,,
COP(=S)(OC)SCCNC(C)=O,COP(=S)(OC)SCCNC(C)=O,0.0,,
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,,1.0,
O=[N+]([O-])c1ccccc1Cl,O=[N+]([O-])c1ccccc1Cl,0.0,,
FC(F)=C(F)F,FC(F)=C(F)F,,,0.0
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0.0,,
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,1.0,1.0,0.0
O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,,1.0,
